"kecamatan";"kelurahan";"jumlah_pasangan_usia_subur";"jumlah_target_pus";"jumlah_pus_istrinya_kurang_dari_20_tahun";"jumlah_pus_tidak_terpenuhi_berkb";"jumlah_akseptor_kb";"jumlah_peserta_kb_baru";"jumlah_peserta_kb_aktif";"penambahanpengurangan_peserta_kb_aktif";"jumlah_peserta_kb_baru_yang_menggunakan_mkjp";"prosentase_peserta_kb_aktif";"jumlah_peserta_kb_aktif_yang_dropout_kontrasepsi"
"KARANG PILANG";"KARANG PILANG";"9470";"9470";"0";"1661";"5535";"1";"5480";"687";"7";"57.866948257656";"0"
"WONOCOLO";"WONOCOLO";"8248";"8248";"0";"1962";"3927";"1";"3898";"612";"2";"47.259941804074";"0"
"RUNGKUT";"RUNGKUT";"15209";"15209";"0";"3175";"8424";"0";"8377";"1436";"8";"55.079229403643";"0"
"WONOKROMO";"WONOKROMO";"15565";"15565";"0";"2904";"8909";"39";"8848";"1336";"22";"56.845486668808";"0"
"TEGALSARI";"TEGALSARI";"8492";"8492";"8";"2025";"4616";"0";"4581";"748";"6";"53.944889307584";"0"
"SAWAHAN";"SAWAHAN";"19695";"19695";"0";"4068";"10089";"0";"9972";"980";"6";"50.632140137091";"0"
"GENTENG";"GENTENG";"5104";"5104";"0";"1010";"3059";"0";"3044";"624";"5";"59.639498432602";"0"
"GUBENG";"GUBENG";"11205";"11205";"0";"2650";"5629";"8";"5532";"616";"12";"49.370816599732";"0"
"SUKOLILO";"SUKOLILO";"11172";"11172";"0";"2488";"5986";"6";"5966";"991";"11";"53.401360544218";"0"
"TAMBAKSARI";"TAMBAKSARI";"24650";"24650";"9";"5199";"13367";"0";"12968";"1675";"26";"52.608519269777";"0"
"SIMOKERTO";"SIMOKERTO";"9053";"9053";"0";"1379";"5366";"51";"5346";"674";"4";"59.052247873633";"0"
"PABEAN CANTIAN";"PABEAN CANTIAN";"7178";"7178";"2";"1074";"4381";"9";"4348";"604";"4";"60.573976037894";"0"
"BUBUTAN";"BUBUTAN";"10543";"10543";"0";"1985";"5768";"0";"5720";"623";"8";"54.254007398274";"0"
"TANDES";"TANDES";"9905";"9905";"0";"1936";"5236";"19";"5175";"604";"5";"52.246340232206";"0"
"KREMBANGAN";"KREMBANGAN";"12149";"12149";"1";"2069";"6564";"7";"6484";"609";"3";"53.370647789942";"0"
"SEMAMPIR";"SEMAMPIR";"18008";"18008";"0";"2760";"10079";"1";"9997";"661";"7";"55.514215904043";"0"
"KENJERAN";"KENJERAN";"22719";"22719";"0";"3245";"13719";"44";"13651";"886";"22";"60.086271402791";"0"
"LAKARSANTRI";"LAKARSANTRI";"7497";"7497";"0";"1025";"4737";"4";"4704";"675";"1";"62.745098039216";"0"
"BENOWO";"BENOWO";"11379";"11379";"0";"2203";"6411";"7";"6372";"676";"4";"55.997890851569";"0"
"WIYUNG";"WIYUNG";"8304";"8304";"0";"1375";"4953";"35";"4876";"602";"5";"58.718689788054";"0"
"DUKUH PAKIS";"DUKUH PAKIS";"6821";"6821";"0";"1399";"3850";"9";"3803";"656";"12";"55.754288227533";"0"
"GAYUNGAN";"GAYUNGAN";"3865";"3865";"0";"951";"2119";"4";"2084";"582";"0";"53.91979301423";"0"
"JAMBANGAN";"JAMBANGAN";"6766";"6766";"0";"1113";"4064";"0";"4015";"806";"1";"59.340821755838";"0"
"TENGGILIS MEJOYO";"TENGGILIS MEJOYO";"8113";"8113";"0";"1615";"4231";"9";"4189";"555";"5";"51.633181313941";"0"
"GUNUNG ANYAR";"GUNUNG ANYAR";"7218";"7218";"0";"1610";"3704";"0";"3659";"665";"2";"50.692712662787";"0"
"MULYOREJO";"MULYOREJO";"6468";"6468";"0";"1412";"3790";"39";"3720";"750";"3";"57.513914656772";"0"
"SUKOMANUNGGAL";"SUKOMANUNGGAL";"9431";"9431";"6";"1826";"5408";"29";"5384";"801";"3";"57.088325734281";"0"
"ASEM ROWO";"ASEM ROWO";"5978";"5978";"0";"785";"4131";"4";"4104";"712";"2";"68.651722984276";"0"
"BULAK";"BULAK";"6988";"6988";"1";"1259";"4195";"0";"4167";"542";"6";"59.630795649685";"0"
"PAKAL";"PAKAL";"8673";"8673";"0";"1474";"5245";"0";"5213";"575";"5";"60.106076328837";"0"
"SAMBIKEREP";"SAMBIKEREP";"8422";"8422";"0";"1250";"5677";"0";"5641";"569";"2";"66.97933982427";"0"
